Start training epoch:10 @Fri Jan  3 10:04:03 2020
Epoch: [10][290/794], lr: 0.00200	Time 5.689 (5.803)	Data 5.111 (2.534)	Loss 0.0683 (0.1727)	Prec@1 100.000 (94.817)	Prec@5 100.000 (99.427)
Epoch: [10][300/794], lr: 0.00200	Time 5.685 (5.799)	Data 5.107 (2.534)	Loss 0.0576 (0.1720)	Prec@1 100.000 (94.850)	Prec@5 100.000 (99.446)
Epoch: [10][310/794], lr: 0.00200	Time 5.704 (5.796)	Data 5.127 (2.535)	Loss 0.2711 (0.1713)	Prec@1 91.667 (94.855)	Prec@5 100.000 (99.464)
Epoch: [10][320/794], lr: 0.00200	Time 5.685 (5.793)	Data 5.109 (2.536)	Loss 0.3567 (0.1695)	Prec@1 83.333 (94.912)	Prec@5 100.000 (99.481)
Epoch: [10][330/794], lr: 0.00200	Time 5.697 (5.790)	Data 5.120 (2.537)	Loss 0.1092 (0.1681)	Prec@1 91.667 (94.965)	Prec@5 100.000 (99.496)
Epoch: [10][340/794], lr: 0.00200	Time 5.743 (5.789)	Data 5.159 (2.538)	Loss 0.0423 (0.1676)	Prec@1 100.000 (95.015)	Prec@5 100.000 (99.511)
Epoch: [10][350/794], lr: 0.00200	Time 5.693 (5.786)	Data 5.109 (2.538)	Loss 0.0238 (0.1682)	Prec@1 100.000 (95.062)	Prec@5 100.000 (99.525)
Epoch: [10][360/794], lr: 0.00200	Time 5.692 (5.784)	Data 5.113 (2.539)	Loss 0.0909 (0.1673)	Prec@1 100.000 (95.129)	Prec@5 100.000 (99.515)
Epoch: [10][370/794], lr: 0.00200	Time 5.720 (5.782)	Data 5.141 (2.540)	Loss 0.0714 (0.1673)	Prec@1 100.000 (95.148)	Prec@5 100.000 (99.528)
Epoch: [10][380/794], lr: 0.00200	Time 5.678 (5.779)	Data 5.103 (2.540)	Loss 0.0681 (0.1674)	Prec@1 100.000 (95.166)	Prec@5 100.000 (99.519)
Epoch: [10][390/794], lr: 0.00200	Time 5.682 (5.777)	Data 5.106 (2.540)	Loss 0.1663 (0.1666)	Prec@1 91.667 (95.162)	Prec@5 100.000 (99.510)
Epoch: [10][400/794], lr: 0.00200	Time 5.704 (5.775)	Data 5.120 (2.541)	Loss 0.6738 (0.1670)	Prec@1 83.333 (95.179)	Prec@5 91.667 (99.501)
Epoch: [10][410/794], lr: 0.00200	Time 5.747 (5.774)	Data 5.163 (2.542)	Loss 0.1140 (0.1669)	Prec@1 100.000 (95.215)	Prec@5 100.000 (99.513)
Epoch: [10][420/794], lr: 0.00200	Time 5.692 (5.772)	Data 5.108 (2.542)	Loss 0.0899 (0.1659)	Prec@1 91.667 (95.269)	Prec@5 100.000 (99.505)
Epoch: [10][430/794], lr: 0.00200	Time 5.718 (5.771)	Data 5.142 (2.542)	Loss 0.1235 (0.1646)	Prec@1 91.667 (95.263)	Prec@5 100.000 (99.517)
Epoch: [10][440/794], lr: 0.00200	Time 5.707 (5.770)	Data 5.130 (2.543)	Loss 0.0324 (0.1637)	Prec@1 100.000 (95.295)	Prec@5 100.000 (99.528)
Epoch: [10][450/794], lr: 0.00200	Time 5.705 (5.768)	Data 5.128 (2.543)	Loss 0.0733 (0.1658)	Prec@1 100.000 (95.214)	Prec@5 100.000 (99.538)
Epoch: [10][460/794], lr: 0.00200	Time 5.686 (5.767)	Data 5.110 (2.543)	Loss 0.1149 (0.1651)	Prec@1 100.000 (95.246)	Prec@5 100.000 (99.548)
Epoch: [10][470/794], lr: 0.00200	Time 5.732 (5.766)	Data 5.155 (2.544)	Loss 0.2488 (0.1680)	Prec@1 91.667 (95.205)	Prec@5 100.000 (99.540)
Epoch: [10][480/794], lr: 0.00200	Time 5.711 (5.765)	Data 5.106 (2.544)	Loss 0.0397 (0.1677)	Prec@1 100.000 (95.201)	Prec@5 100.000 (99.550)
Epoch: [10][490/794], lr: 0.00200	Time 5.704 (5.764)	Data 5.126 (2.545)	Loss 0.1040 (0.1684)	Prec@1 91.667 (95.197)	Prec@5 100.000 (99.559)
Epoch: [10][500/794], lr: 0.00200	Time 5.685 (5.762)	Data 5.106 (2.545)	Loss 0.1223 (0.1680)	Prec@1 91.667 (95.210)	Prec@5 100.000 (99.568)
Epoch: [10][510/794], lr: 0.00200	Time 5.705 (5.761)	Data 5.127 (2.545)	Loss 0.1842 (0.1683)	Prec@1 91.667 (95.157)	Prec@5 100.000 (99.560)
Epoch: [10][520/794], lr: 0.00200	Time 5.690 (5.760)	Data 5.112 (2.545)	Loss 0.4882 (0.1685)	Prec@1 91.667 (95.186)	Prec@5 100.000 (99.552)
Epoch: [10][530/794], lr: 0.00200	Time 5.691 (5.758)	Data 5.110 (2.546)	Loss 0.1234 (0.1679)	Prec@1 100.000 (95.198)	Prec@5 100.000 (99.561)
Epoch: [10][540/794], lr: 0.00200	Time 5.696 (5.757)	Data 5.118 (2.546)	Loss 0.2373 (0.1689)	Prec@1 91.667 (95.225)	Prec@5 100.000 (99.569)
Epoch: [10][550/794], lr: 0.00200	Time 5.676 (5.756)	Data 5.099 (2.546)	Loss 0.2588 (0.1692)	Prec@1 91.667 (95.221)	Prec@5 100.000 (99.561)
Epoch: [10][560/794], lr: 0.00200	Time 5.697 (5.755)	Data 5.121 (2.546)	Loss 0.0656 (0.1701)	Prec@1 100.000 (95.172)	Prec@5 100.000 (99.554)
Epoch: [10][570/794], lr: 0.00200	Time 5.675 (5.753)	Data 5.097 (2.546)	Loss 0.0022 (0.1685)	Prec@1 100.000 (95.228)	Prec@5 100.000 (99.562)
Epoch: [10][580/794], lr: 0.00200	Time 5.689 (5.752)	Data 5.113 (2.546)	Loss 0.0870 (0.1680)	Prec@1 100.000 (95.252)	Prec@5 100.000 (99.570)
Epoch: [10][590/794], lr: 0.00200	Time 5.688 (5.751)	Data 5.113 (2.546)	Loss 0.1233 (0.1687)	Prec@1 100.000 (95.234)	Prec@5 100.000 (99.549)
Epoch: [10][600/794], lr: 0.00200	Time 5.684 (5.750)	Data 5.106 (2.546)	Loss 0.4688 (0.1692)	Prec@1 83.333 (95.202)	Prec@5 100.000 (99.556)
Epoch: [10][610/794], lr: 0.00200	Time 5.694 (5.749)	Data 5.112 (2.547)	Loss 0.0719 (0.1696)	Prec@1 100.000 (95.185)	Prec@5 100.000 (99.550)
Epoch: [10][620/794], lr: 0.00200	Time 5.684 (5.748)	Data 5.107 (2.547)	Loss 0.0138 (0.1690)	Prec@1 100.000 (95.196)	Prec@5 100.000 (99.557)
Epoch: [10][630/794], lr: 0.00200	Time 5.682 (5.747)	Data 5.103 (2.547)	Loss 0.2180 (0.1682)	Prec@1 91.667 (95.206)	Prec@5 100.000 (99.564)
Epoch: [10][640/794], lr: 0.00200	Time 5.690 (5.746)	Data 5.115 (2.547)	Loss 0.1584 (0.1684)	Prec@1 100.000 (95.203)	Prec@5 100.000 (99.571)
Epoch: [10][650/794], lr: 0.00200	Time 5.681 (5.745)	Data 5.104 (2.547)	Loss 0.6035 (0.1696)	Prec@1 91.667 (95.187)	Prec@5 100.000 (99.552)
Epoch: [10][660/794], lr: 0.00200	Time 5.696 (5.744)	Data 5.105 (2.547)	Loss 0.4647 (0.1702)	Prec@1 91.667 (95.171)	Prec@5 91.667 (99.534)
Epoch: [10][670/794], lr: 0.00200	Time 5.716 (5.744)	Data 5.124 (2.547)	Loss 0.0045 (0.1706)	Prec@1 100.000 (95.156)	Prec@5 100.000 (99.528)
Epoch: [10][680/794], lr: 0.00200	Time 5.703 (5.743)	Data 5.125 (2.547)	Loss 0.0627 (0.1713)	Prec@1 100.000 (95.142)	Prec@5 100.000 (99.523)
Epoch: [10][690/794], lr: 0.00200	Time 5.669 (5.742)	Data 5.092 (2.547)	Loss 0.0183 (0.1709)	Prec@1 100.000 (95.152)	Prec@5 100.000 (99.518)
Epoch: [10][700/794], lr: 0.00200	Time 5.669 (5.741)	Data 5.086 (2.547)	Loss 0.0213 (0.1693)	Prec@1 100.000 (95.209)	Prec@5 100.000 (99.524)
Epoch: [10][710/794], lr: 0.00200	Time 5.679 (5.740)	Data 5.103 (2.547)	Loss 0.4692 (0.1707)	Prec@1 75.000 (95.159)	Prec@5 100.000 (99.519)
Epoch: [10][720/794], lr: 0.00200	Time 5.687 (5.740)	Data 5.113 (2.547)	Loss 0.0725 (0.1710)	Prec@1 100.000 (95.157)	Prec@5 100.000 (99.515)
Epoch: [10][730/794], lr: 0.00200	Time 5.675 (5.739)	Data 5.099 (2.547)	Loss 0.0087 (0.1697)	Prec@1 100.000 (95.201)	Prec@5 100.000 (99.521)
Epoch: [10][740/794], lr: 0.00200	Time 5.705 (5.738)	Data 5.129 (2.547)	Loss 0.0071 (0.1689)	Prec@1 100.000 (95.254)	Prec@5 100.000 (99.528)
Epoch: [10][750/794], lr: 0.00200	Time 5.695 (5.738)	Data 5.119 (2.548)	Loss 0.1594 (0.1685)	Prec@1 100.000 (95.295)	Prec@5 100.000 (99.534)
Epoch: [10][760/794], lr: 0.00200	Time 5.690 (5.737)	Data 5.106 (2.548)	Loss 0.1446 (0.1693)	Prec@1 100.000 (95.291)	Prec@5 100.000 (99.540)
Epoch: [10][770/794], lr: 0.00200	Time 5.664 (5.736)	Data 5.088 (2.548)	Loss 0.1411 (0.1695)	Prec@1 100.000 (95.309)	Prec@5 100.000 (99.535)
Epoch: [10][780/794], lr: 0.00200	Time 5.666 (5.735)	Data 5.091 (2.547)	Loss 0.0555 (0.1684)	Prec@1 100.000 (95.359)	Prec@5 100.000 (99.541)
Epoch: [10][790/794], lr: 0.00200	Time 5.662 (5.734)	Data 5.087 (2.547)	Loss 0.7588 (0.1690)	Prec@1 75.000 (95.343)	Prec@5 100.000 (99.547)
Test: [0/316]	Time 2.020 (2.020)	Loss 0.4652 (0.4652)	Prec@1 91.667 (91.667)	Prec@5 100.000 (100.000)
Test: [20/316]	Time 0.160 (0.262)	Loss 0.0028 (0.7568)	Prec@1 100.000 (82.143)	Prec@5 100.000 (96.032)
Test: [40/316]	Time 0.161 (0.214)	Loss 0.0637 (0.5447)	Prec@1 100.000 (85.976)	Prec@5 100.000 (97.764)
Test: [60/316]	Time 0.166 (0.199)	Loss 1.3373 (0.5252)	Prec@1 58.333 (85.246)	Prec@5 100.000 (98.497)
Test: [80/316]	Time 0.165 (0.191)	Loss 0.0000 (0.6949)	Prec@1 100.000 (83.745)	Prec@5 100.000 (98.045)
Test: [100/316]	Time 0.166 (0.186)	Loss 3.4162 (0.7132)	Prec@1 25.000 (84.323)	Prec@5 100.000 (98.267)
Test: [120/316]	Time 0.165 (0.183)	Loss 0.1294 (0.9799)	Prec@1 100.000 (80.372)	Prec@5 100.000 (96.488)
Test: [140/316]	Time 0.167 (0.181)	Loss 1.9953 (0.9500)	Prec@1 66.667 (80.792)	Prec@5 83.333 (96.513)
Test: [160/316]	Time 0.170 (0.179)	Loss 3.6307 (1.0133)	Prec@1 25.000 (79.762)	Prec@5 50.000 (94.979)
Test: [180/316]	Time 0.171 (0.178)	Loss 3.3189 (1.0406)	Prec@1 41.667 (78.591)	Prec@5 75.000 (94.521)
Test: [200/316]	Time 0.168 (0.177)	Loss 0.0000 (0.9760)	Prec@1 100.000 (79.685)	Prec@5 100.000 (94.859)
Test: [220/316]	Time 0.174 (0.176)	Loss 2.2186 (0.9397)	Prec@1 58.333 (80.241)	Prec@5 83.333 (95.098)
Test: [240/316]	Time 0.163 (0.176)	Loss 0.0028 (0.9344)	Prec@1 100.000 (80.498)	Prec@5 100.000 (95.055)
Test: [260/316]	Time 0.163 (0.175)	Loss 1.3226 (0.9290)	Prec@1 75.000 (80.077)	Prec@5 100.000 (95.115)
Test: [280/316]	Time 0.166 (0.174)	Loss 0.2078 (0.8927)	Prec@1 83.333 (80.813)	Prec@5 100.000 (95.314)
Test: [300/316]	Time 0.159 (0.174)	Loss 0.2026 (0.8689)	Prec@1 91.667 (81.146)	Prec@5 100.000 (95.598)
Testing Results: Prec@1 81.073 Prec@5 95.506 Loss 0.88164
Best Prec@1: 81.338

Start training epoch:11 @Fri Jan  3 10:12:41 2020
Epoch: [11][0/794], lr: 0.00200	Time 3.054 (3.054)	Data 2.121 (2.121)	Loss 0.0589 (0.0589)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Epoch: [11][10/794], lr: 0.00200	Time 5.684 (4.369)	Data 5.103 (2.515)	Loss 0.0061 (0.1336)	Prec@1 100.000 (96.970)	Prec@5 100.000 (100.000)
Epoch: [11][20/794], lr: 0.00200	Time 5.731 (4.823)	Data 5.154 (2.551)	Loss 0.1850 (0.1522)	Prec@1 91.667 (96.429)	Prec@5 100.000 (100.000)
Epoch: [11][30/794], lr: 0.00200	Time 5.690 (5.040)	Data 5.113 (2.552)	Loss 0.2867 (0.1484)	Prec@1 91.667 (95.968)	Prec@5 100.000 (100.000)
Epoch: [11][40/794], lr: 0.00200	Time 5.668 (5.165)	Data 5.090 (2.549)	Loss 0.1415 (0.1374)	Prec@1 91.667 (96.138)	Prec@5 100.000 (100.000)
Epoch: [11][50/794], lr: 0.00200	Time 5.700 (5.254)	Data 5.118 (2.550)	Loss 0.0410 (0.1415)	Prec@1 100.000 (95.752)	Prec@5 100.000 (99.837)
Epoch: [11][60/794], lr: 0.00200	Time 5.670 (5.314)	Data 5.093 (2.550)	Loss 0.0103 (0.1315)	Prec@1 100.000 (96.175)	Prec@5 100.000 (99.863)
Epoch: [11][70/794], lr: 0.00200	Time 5.677 (5.359)	Data 5.102 (2.550)	Loss 0.0241 (0.1470)	Prec@1 100.000 (95.540)	Prec@5 100.000 (99.765)
Epoch: [11][80/794], lr: 0.00200	Time 5.691 (5.396)	Data 5.108 (2.549)	Loss 0.0063 (0.1492)	Prec@1 100.000 (95.473)	Prec@5 100.000 (99.691)
Epoch: [11][90/794], lr: 0.00200	Time 5.683 (5.425)	Data 5.108 (2.549)	Loss 0.0101 (0.1436)	Prec@1 100.000 (95.696)	Prec@5 100.000 (99.725)
Epoch: [11][100/794], lr: 0.00200	Time 5.687 (5.449)	Data 5.108 (2.549)	Loss 0.1243 (0.1384)	Prec@1 91.667 (95.875)	Prec@5 100.000 (99.752)
